subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
17	1	1	999	1	0	1	hands parallel	2	feet crossed	-1000	1	oneTouch	3	leftFoot	5	none	196909	197909	0	0	2	99	0	0	no reaction	expXId
17	1	1	999	2	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	3	leftFoot	4	rightFoot	202947	203947	0	0	2	99	0	0	no reaction	expXId
17	1	1	999	3	0	1	hands parallel	2	feet crossed	1000	1	oneTouch	4	rightFoot	5	none	208998	209998	3	4	1	1	209809	811	valid	expXId
17	1	1	999	4	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	3	leftFoot	4	rightFoot	213050	214050	3	4	1	0	215575	2525	valid	expXId
17	1	1	999	5	0	1	hands parallel	2	feet crossed	1000	2	twoTouches	2	rightHand	4	rightFoot	219101	220101	2	2	1	1	219924	823	valid	expXId
17	1	0	1	1	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	232376	232486	2	2	1	1	232994	618	block start	expXId
17	1	0	2	2	0	1	hands parallel	2	feet crossed	300	2	twoTouches	2	rightHand	4	rightFoot	235535	235835	2	2	1	1	236394	859	valid	expXId
17	1	0	3	3	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	238880	238990	2	2	1	1	239654	774	valid	expXId
17	1	0	4	4	0	1	hands parallel	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	242039	242339	2	2	2	99	243321	1282	wrong limb	expXId
17	1	0	5	5	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	3	leftFoot	4	rightFoot	245385	245685	4	3	0	1	246677	1292	valid	expXId
17	1	0	6	6	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	1	leftHand	2	rightHand	248730	249030	1	1	0	1	250381	1651	valid	expXId
17	1	0	7	7	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	1	leftHand	4	rightFoot	252076	252376	1	1	0	1	253116	1040	valid	expXId
17	1	0	8	8	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	1	leftHand	2	rightHand	255421	255531	1	1	0	1	256615	1194	valid	expXId
17	1	0	9	9	0	1	hands parallel	2	feet crossed	-110	1	oneTouch	1	leftHand	5	none	258580	258690	1	1	0	1	259706	1126	valid	expXId
17	1	0	10	10	0	1	hands parallel	2	feet crossed	110	2	twoTouches	4	rightFoot	3	leftFoot	261739	261849	3	4	1	1	262834	1095	valid	expXId
