subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
2	1	1	999	1	0	2	hands crossed	1	feet parallel	-1000	1	oneTouch	4	rightFoot	5	none	103666	104666	4	4	0	1	104687	1021	valid	expXId
2	1	1	999	2	0	2	hands crossed	1	feet parallel	1000	1	oneTouch	4	rightFoot	5	none	107718	108718	0	0	2	99	0	0	no reaction	expXId
2	1	1	999	3	0	2	hands crossed	1	feet parallel	1000	1	oneTouch	2	rightHand	5	none	113769	114769	1	2	1	1	114569	800	valid	expXId
2	1	1	999	4	0	2	hands crossed	1	feet parallel	1000	1	oneTouch	2	rightHand	5	none	117822	118822	1	2	1	1	118382	560	valid	expXId
2	1	1	999	5	0	2	hands crossed	1	feet parallel	-1000	1	oneTouch	3	leftFoot	5	none	121874	122874	3	3	0	1	122770	896	valid	expXId
2	1	0	1	1	0	2	hands crossed	1	feet parallel	110	2	twoTouches	4	rightFoot	1	leftHand	152410	152520	1	2	2	99	153761	1351	block start	expXId
2	1	0	2	2	0	2	hands crossed	1	feet parallel	110	2	twoTouches	2	rightHand	1	leftHand	155569	155679	2	1	0	0	156650	1081	valid	expXId
2	1	0	3	3	0	2	hands crossed	1	feet parallel	300	1	oneTouch	1	leftHand	5	none	158728	159028	2	1	1	1	159491	763	valid	expXId
2	1	0	4	4	0	2	hands crossed	1	feet parallel	110	2	twoTouches	4	rightFoot	3	leftFoot	162074	162184	4	4	1	1	163203	1129	valid	expXId
2	1	0	5	5	0	2	hands crossed	1	feet parallel	300	2	twoTouches	1	leftHand	3	leftFoot	165233	165533	2	1	1	1	166896	1663	valid	expXId
2	1	0	6	6	0	2	hands crossed	1	feet parallel	300	2	twoTouches	2	rightHand	3	leftFoot	168579	168879	1	2	1	1	169513	934	valid	expXId
2	1	0	7	7	0	2	hands crossed	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	171924	172224	3	3	0	1	172924	1000	valid	expXId
2	1	0	8	8	0	2	hands crossed	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	175267	175377	1	2	1	1	176267	1000	valid	expXId
2	1	0	9	9	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	1	leftHand	2	rightHand	178429	178539	1	2	1	0	180104	1675	valid	expXId
2	1	0	10	10	0	2	hands crossed	1	feet parallel	110	2	twoTouches	2	rightHand	4	rightFoot	181588	181698	1	2	1	1	183679	2091	valid	expXId
2	1	0	11	11	0	2	hands crossed	1	feet parallel	110	2	twoTouches	1	leftHand	3	leftFoot	184740	184850	1	2	2	99	186017	1277	wrong limb	expXId
2	1	0	12	12	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	1	leftHand	4	rightFoot	187906	188016	2	1	0	1	189119	1213	valid	expXId
2	1	0	13	13	0	2	hands crossed	1	feet parallel	-110	1	oneTouch	4	rightFoot	5	none	191065	191175	4	4	0	1	192406	1341	valid	expXId
2	1	0	14	14	0	2	hands crossed	1	feet parallel	300	2	twoTouches	4	rightFoot	1	leftHand	194224	194524	2	1	0	0	196331	2107	valid	expXId
2	1	0	15	15	0	2	hands crossed	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	197566	197866	1	2	1	1	198433	867	valid	expXId
2	1	0	16	16	0	2	hands crossed	1	feet parallel	-300	2	twoTouches	1	leftHand	4	rightFoot	200915	201215	2	1	0	1	201762	847	valid	expXId
2	1	0	17	17	0	2	hands crossed	1	feet parallel	300	2	twoTouches	2	rightHand	4	rightFoot	204257	204557	1	2	1	1	205275	1018	valid	expXId
2	1	0	18	18	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	3	leftFoot	1	leftHand	207606	207716	3	3	0	1	209173	1567	valid	expXId
2	1	0	19	19	0	2	hands crossed	1	feet parallel	-110	1	oneTouch	3	leftFoot	5	none	210765	210875	2	1	2	99	211832	1067	wrong limb	expXId
2	1	0	20	20	0	2	hands crossed	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	213924	214224	3	3	0	1	215149	1225	button pressed too long	expXId
2	1	0	21	21	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	3	leftFoot	4	rightFoot	217267	217377	3	3	0	1	219253	1986	valid	expXId
2	1	0	22	22	0	2	hands crossed	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	220429	220539	1	2	1	1	221309	880	valid	expXId
2	1	0	23	23	0	2	hands crossed	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	223588	223698	2	1	2	99	225007	1419	wrong limb	expXId
2	1	0	24	24	0	2	hands crossed	1	feet parallel	-300	2	twoTouches	3	leftFoot	2	rightHand	226747	227047	3	3	0	1	228103	1356	valid	expXId
